"year","iteration","sAg","ppnCUsLowerBM"
12,"16",106064.756340625,NA
12,"17",79851.4306657412,NA
12,"18",97196.0884574994,NA
12,"19",196397.725981961,NA
12,"20",181637.252822682,NA
13,"1",109919.820153042,NA
13,"2",158852.873945638,NA
13,"3",135696.825267011,NA
13,"4",96363.0364077942,NA
13,"5",77735.316562741,NA
13,"6",100563.930312904,NA
13,"7",180170.308095378,NA
13,"8",73212.9597000468,NA
13,"9",208408.811014269,NA
13,"10",94288.1195556491,NA
13,"11",80481.8489024432,NA
13,"12",102690.357282278,NA
13,"13",125325.627334821,NA
13,"14",99436.9070136903,NA
13,"15",115766.853295696,NA
13,"16",134494.701104705,NA
13,"17",97701.8723238666,NA
13,"18",59908.0071710265,NA
13,"19",152546.146963488,NA
13,"20",147070.443211777,NA
14,"1",145121.88382247,NA
14,"2",215774.80387041,NA
14,"3",272112.752811803,NA
14,"4",84177.6962903916,NA
14,"5",131591.751590617,NA
14,"6",136225.237393989,NA
14,"7",129894.251658963,NA
14,"8",58021.8588809765,NA
14,"9",120486.917976145,NA
14,"10",96939.0068240499,NA
14,"11",114608.684920975,NA
14,"12",159734.957930139,NA
14,"13",148866.959927146,NA
14,"14",98706.8881030733,NA
14,"15",162956.235469288,NA
14,"16",57359.7671588521,NA
14,"17",101594.050912431,NA
14,"18",100441.267921092,NA
14,"19",151768.931586583,NA
14,"20",57749.42709291,NA
15,"1",111427.28415461,NA
15,"2",109931.19252014,NA
15,"3",107225.36750861,NA
15,"4",119425.139442249,NA
15,"5",156242.49212664,NA
15,"6",114169.304778624,NA
15,"7",108731.612560855,NA
15,"8",122792.004927601,NA
15,"9",99189.7742592374,NA
15,"10",73358.1174968222,NA
15,"11",111651.270993285,NA
15,"12",106132.449399496,NA
15,"13",106189.139191261,NA
15,"14",101409.349239366,NA
15,"15",87535.1593393545,NA
15,"16",86761.2298806797,NA
15,"17",59984.5440495066,NA
15,"18",116796.58599742,NA
15,"19",132915.947596479,NA
15,"20",107541.493431578,NA
16,"1",125314.143951236,NA
16,"2",136500.45213332,NA
16,"3",208297.390010207,NA
16,"4",77683.5246105543,NA
16,"5",79048.8865407951,NA
16,"6",121279.038088956,NA
16,"7",132933.435669276,NA
16,"8",115711.820901015,NA
16,"9",99543.7547912607,NA
16,"10",79298.9689978849,NA
16,"11",102119.804289243,NA
16,"12",87949.8680238357,NA
16,"13",79848.8455140639,NA
16,"14",174596.559470327,NA
16,"15",123067.253547425,NA
16,"16",84821.7485989197,NA
16,"17",94609.7141057003,NA
16,"18",166949.419244033,NA
16,"19",85326.682806682,NA
16,"20",51880.8781986177,NA
17,"1",72472.0322129729,NA
17,"2",98712.2145492288,NA
17,"3",74953.3750255319,NA
17,"4",102639.79850954,NA
17,"5",197560.455088552,NA
17,"6",129938.874467109,NA
17,"7",122391.846160985,NA
17,"8",95252.054882157,NA
17,"9",165284.133430997,NA
17,"10",78908.9052595653,NA
17,"11",199392.538448301,NA
17,"12",147226.086315743,NA
17,"13",138634.127460052,NA
17,"14",142146.93005418,NA
17,"15",115133.9228866,NA
17,"16",75939.4579487951,NA
17,"17",64878.3584584434,NA
17,"18",159944.385657026,NA
17,"19",105465.681305475,NA
17,"20",120639.206335628,NA
18,"1",83497.5234027355,NA
18,"2",185297.540379367,NA
18,"3",75787.7885958228,NA
18,"4",102295.533655635,NA
18,"5",98507.8211105041,NA
18,"6",133290.922332848,NA
18,"7",267461.012204449,NA
18,"8",60869.5040564134,NA
18,"9",94648.6606640453,NA
18,"10",126767.54141317,NA
18,"11",168767.351829119,NA
18,"12",198876.639797674,NA
18,"13",173649.524665932,NA
18,"14",98150.3389294023,NA
18,"15",105957.041693196,NA
